frequency,Re(Z),Img(Z)
1000000.0,4489.959999999991,-11847.200000000072
926000.0,4701.720000000027,-12384.19999999971
858000.0,5285.199999999989,-12774.800000000074
794000.0,5835.299999999973,-13939.000000000446
736000.0,6373.299999999979,-14270.199999999704
681000.0,7336.620000000014,-15342.79999999994
631000.0,7948.859999999951,-15579.600000000297
584000.0,8867.879999999981,-16129.200000000234
541000.0,9303.260000000017,-16734.60000000028
501000.0,10517.840000000026,-17586.40000000023
464000.0,11593.659999999967,-18234.399999999885
430000.0,12285.159999999954,-18616.599999999635
398000.0,13732.000000000044,-19320.40000000058
369000.0,14470.200000000052,-19738.20000000047
341000.0,15680.399999999943,-20363.99999999964
316000.0,16755.79999999991,-20666.200000000263
293000.0,17267.599999999937,-20725.60000000032
271000.0,18886.4,-21443.4000000004
251000.0,20608.59999999989,-22112.000000000786
233000.0,21175.40000000002,-22276.400000000755
215000.0,22440.80000000006,-22317.000000000306
200000.0,22677.00000000008,-22373.60000000023
185000.0,23358.600000000093,-22512.20000000005
171000.0,25862.40000000013,-23418.599999999595
158000.0,27103.200000000008,-23725.39999999961
147000.0,27998.799999999934,-23980.799999999635
136000.0,29161.999999999774,-24214.60000000009
126000.0,30074.39999999981,-24398.40000000005
117000.0,31425.199999999917,-24972.199999999768
108000.0,32438.0000000001,-25170.40000000048
100000.0,33746.59999999997,-25579.00000000072
92600.0,35135.20000000013,-25895.39999999989
85800.0,35304.00000000018,-25796.00000000001
79400.0,37038.00000000013,-26518.7999999996
73600.0,38111.2000000002,-26780.60000000025
68100.0,39169.00000000015,-27190.79999999996
63100.0,40180.20000000018,-27723.399999999627
58400.0,42073.79999999976,-28692.600000000275
54100.0,42203.59999999975,-28682.600000000337
50100.0,42614.39999999976,-28713.20000000027
46400.0,45042.59999999995,-29799.59999999953
43000.0,46247.40000000012,-30588.799999999384
39800.0,47466.40000000024,-31298.00000000033
36900.0,47878.00000000022,-31243.800000000258
34100.0,49418.00000000004,-31834.79999999968
31600.0,51733.80000000021,-33126.39999999961
29300.0,53177.79999999974,-34043.4000000002
27100.0,54248.199999999975,-34258.79999999996
25100.0,57607.199999999866,-36327.99999999956
23300.0,58464.20000000016,-36845.19999999957
21500.0,60874.80000000018,-37741.79999999973
19900.0,62101.79999999995,-38347.00000000022
18500.0,64132.00000000013,-39367.79999999982
17100.0,66606.9999999998,-40069.39999999992
15800.0,69422.60000000014,-41250.80000000064
14700.0,71055.40000000042,-41850.6000000002
13600.0,73053.40000000015,-42434.00000000036
12600.0,76383.40000000034,-43613.40000000015
11700.0,77118.60000000043,-43932.20000000009
10800.0,77837.60000000041,-44409.0
10000.0,83378.39999999997,-44821.19999999976
9260.0,87253.59999999948,-44595.79999999951
8570.0,90717.40000000014,-44735.2000000003
7940.0,93182.59999999992,-44671.8000000004
7350.0,95146.40000000036,-44781.00000000008
6810.0,100237.80000000042,-43795.59999999923
6310.0,102313.9999999998,-43305.19999999912
5840.0,104436.00000000052,-42617.1999999998
5410.0,107284.4000000002,-41905.99999999999
5010.0,110166.40000000036,-40717.99999999919
4640.0,114043.99999999972,-39157.19999999947
4300.0,114777.99999999988,-39074.599999999824
3980.0,117742.00000000016,-37600.400000000685
3690.0,118050.00000000007,-37434.60000000076
3420.0,122433.99999999904,-34385.000000000015
3160.0,124753.99999999952,-33003.400000000634
2930.0,126559.99999999929,-31739.200000000397
2710.0,128471.99999999968,-30260.999999999614
2510.0,130522.00000000023,-27845.20000000058
2330.0,131424.00000000073,-27289.80000000059
2150.0,132518.00000000064,-26950.000000000447
2000.0,133662.00000000035,-24741.2000000008
1850.0,134898.0,-23231.400000000755
1710.0,136645.9999999993,-21503.200000000117
1580.0,137751.99999999886,-20372.999999999407
1470.0,137815.99999999895,-20259.19999999938
1360.0,139212.0000000004,-17009.1999999993
1260.0,139952.00000000032,-15711.799999999714
1170.0,140100.0000000003,-15073.400000000183
1080.0,141071.99999999985,-14091.600000000286
1000.0,141373.9999999996,-13242.320000000507
926.0,141891.99999999945,-12472.160000000284
858.0,142011.99999999953,-12241.460000000245
794.0,143470.00000000064,-9464.440000000195
736.0,143620.00000000073,-9319.940000000175
681.0,144418.00000000076,-8609.200000000417
631.0,144686.0000000008,-8497.62000000026
584.0,144806.0000000008,-6674.120000000385
541.0,145110.0000000008,-6503.780000000349
501.0,145289.99999999997,-5048.360000000223
464.0,145366.0,-4446.440000000034
430.0,145515.99999999994,-4291.300000000015
398.0,145335.99999999988,-3163.440000000001
369.0,145299.99999999985,-2697.7040000002025
341.0,145167.9999999998,-2035.5440000003907
316.0,145149.99999999977,-1626.8760000000937
293.0,145177.99999999977,-1371.0699999999226
271.0,145001.99999999977,-772.7719999996384
251.0,144993.9999999998,-459.421999999753
233.0,144991.9999999998,-264.72800000012273
215.0,144793.9999999999,132.47799999983516
200.0,144368.00000000032,245.59600000000864
185.0,144238.0000000005,344.5480000000025
171.0,144024.00000000058,425.1239999999034
159.0,143932.0000000006,430.5779999998856
147.0,143784.00000000067,437.2559999998381
136.0,143350.0000000008,391.8259999998386
126.0,143162.0000000008,262.541999999791
117.0,143140.0000000008,-14.37600000040221
108.0,143014.0000000008,-296.13200000044486
100.0,142954.00000000076,-599.5280000003695
92.6,142802.00000000055,-813.8440000003108
85.8,142798.00000000055,-822.936000000309
79.4,142329.99999999988,-1516.256000000003
73.6,142301.99999999985,-1585.217999999998
68.1,142716.00000000035,-2194.4339999996614
63.1,142299.99999999985,-2591.185999999789
58.4,142177.99999999962,-3211.5919999999564
54.1,142193.99999999962,-3658.332000000011
50.1,142528.0000000001,-4380.0480000002
46.4,142650.00000000032,-5111.210000000173
43.0,142211.99999999968,-5762.599999999708
39.8,142516.00000000003,-6527.5499999999
36.9,142846.00000000058,-7761.380000000036
34.1,142898.00000000076,-8576.17999999997
31.6,142850.0000000008,-9067.81999999991
29.3,142742.0000000007,-8939.199999999957
27.1,143042.00000000038,-10370.620000000014
25.1,143666.0000000003,-12774.340000000357
23.3,143534.0000000003,-12743.580000000353
21.6,144595.99999999974,-15241.419999999718
20.0,145193.9999999996,-16570.639999999607
18.5,144831.99999999962,-16585.239999999652
17.1,146762.00000000108,-20425.799999999515
15.8,146912.00000000105,-21890.999999999494
14.7,148334.00000000114,-23890.599999999577
13.6,149924.00000000044,-25684.99999999975
12.6,150388.0000000003,-27499.600000000115
11.7,150986.00000000035,-28647.200000000204
10.8,152410.00000000044,-30342.40000000017
10.0,155311.99999999953,-33829.4000000007
9.26,156231.99999999945,-34790.40000000066
8.58,158389.99999999936,-37016.00000000029
7.94,161563.99999999965,-39403.99999999966
7.36,163293.99999999872,-41208.5999999992
6.81,165602.00000000015,-43723.200000000135
6.31,165328.0000000002,-44762.00000000007
5.84,170404.0000000008,-47322.20000000022
5.41,172344.00000000108,-48763.19999999998
5.01,175933.99999999953,-51458.20000000012
4.64,179067.99999999852,-52718.20000000018
4.3,180643.99999999863,-53618.599999999846
3.98,182479.99999999907,-55371.00000000002
3.69,185459.9999999997,-57122.400000000016
3.41,190756.0000000008,-59223.799999999785
3.16,196112.00000000076,-61343.00000000007
2.93,200304.000000001,-62840.6000000002
2.71,202400.0000000011,-63530.80000000011
2.51,203500.00000000108,-64115.000000000255
2.33,204560.00000000084,-64534.20000000015
2.15,215427.99999999916,-68010.20000000049
2.0,219811.9999999985,-69170.60000000043
1.85,223273.99999999852,-69834.60000000062
1.71,225019.9999999987,-70084.60000000033
1.58,232359.9999999993,-70832.39999999908
1.47,234949.99999999968,-71212.59999999906
1.36,242510.0000000008,-71983.59999999915
1.26,246949.9999999995,-73345.99999999908
1.17,248574.0000000001,-74319.39999999882
1.08,253130.00000000172,-74986.80000000032
1.0,253138.00000000172,-74989.20000000032
