log_Frequency,Ionic radius ,Temperature
0.18892315139503627,0.0,0.0
0.18339509085292713,0.0,0.0
0.1780309769576936,0.0,0.0
0.1722372925811583,0.0,0.0
0.16666666666666669,0.0,0.0
0.16110183111365572,0.0,0.0
0.15558121464145092,0.0,0.0
0.14997008373784937,0.0,0.0
0.14447963572291647,0.0,0.0
0.1388578519854642,0.0,0.0
0.13333822654068905,0.0,0.0
0.12773547451873324,0.0,0.0
0.12219954418442824,0.0,0.0
0.1166396209778743,0.0,0.0
0.11108633009248015,0.0,0.0
0.10557807592993108,0.0,0.0
0.09998051201228131,0.0,0.0
0.0945043943598434,0.0,0.0
0.08879239649874962,0.0,0.0
0.08328118043640063,0.0,0.0
0.07781127005901825,0.0,0.0
0.07216154847906762,0.0,0.0
0.06661228691350636,0.0,0.0
0.06122598683766983,0.0,0.0
0.05540640998593422,0.0,0.0
0.050171665943996864,0.0,0.0
0.0445286214005023,0.0,0.0
0.038832685065358974,0.0,0.0
0.03310951449240378,0.0,0.0
0.02788622245802935,0.0,0.0
0.022256484728369594,0.0,0.0
0.016728424186260485,0.0,0.0
0.011364310291026938,0.0,0.0
0.005570625914491622,0.0,0.0
0.0,0.0,0.0
1.0,0.0,0.11111111111111112
0.9944351644469891,0.0,0.11111111111111112
0.9889145479747843,0.0,0.11111111111111112
0.9833034170711827,0.0,0.11111111111111112
0.9778129690562498,0.0,0.11111111111111112
0.9721911853187976,0.0,0.11111111111111112
0.9666715598740224,0.0,0.11111111111111112
0.9610688078520666,0.0,0.11111111111111112
0.9555328775177616,0.0,0.11111111111111112
0.9499729543112077,0.0,0.11111111111111112
0.9444196634258135,0.0,0.11111111111111112
0.9389114092632644,0.0,0.11111111111111112
0.9333138453456147,0.0,0.11111111111111112
0.9278377276931767,0.0,0.11111111111111112
0.9221257298320831,0.0,0.11111111111111112
0.916614513769734,0.0,0.11111111111111112
0.9111446033923516,0.0,0.11111111111111112
0.905494881812401,0.0,0.11111111111111112
0.8999456202468397,0.0,0.11111111111111112
0.8945593201710033,0.0,0.11111111111111112
0.8887397433192676,0.0,0.11111111111111112
0.8835049992773303,0.0,0.11111111111111112
0.8778619547338357,0.0,0.11111111111111112
0.8721660183986923,0.0,0.11111111111111112
0.8664428478257372,0.0,0.11111111111111112
0.8612195557913627,0.0,0.11111111111111112
0.8555898180617029,0.0,0.11111111111111112
0.8500617575195939,0.0,0.11111111111111112
0.8446976436243603,0.0,0.11111111111111112
0.838903959247825,0.0,0.11111111111111112
0.8333333333333334,0.0,0.11111111111111112
0.8277684977803225,0.0,0.11111111111111112
0.8222478813081175,0.0,0.11111111111111112
0.8166367504045161,0.0,0.11111111111111112
0.8111463023895832,0.0,0.11111111111111112
0.8055245186521308,0.0,0.11111111111111112
0.8000048932073557,0.0,0.11111111111111112
0.7944021411854,0.0,0.11111111111111112
0.7888662108510949,0.0,0.11111111111111112
0.7833062876445409,0.0,0.11111111111111112
0.7777529967591468,0.0,0.11111111111111112
0.7722447425965977,0.0,0.11111111111111112
0.766647178678948,0.0,0.11111111111111112
0.7611710610265101,0.0,0.11111111111111112
0.7554590631654163,0.0,0.11111111111111112
0.7499478471030673,0.0,0.11111111111111112
0.744477936725685,0.0,0.11111111111111112
0.7388282151457344,0.0,0.11111111111111112
0.733278953580173,0.0,0.11111111111111112
0.7278926535043364,0.0,0.11111111111111112
0.7220730766526009,0.0,0.11111111111111112
0.7164755127349511,0.0,0.11111111111111112
0.7111952880671689,0.0,0.11111111111111112
0.7054993517320257,0.0,0.11111111111111112
0.6997761811590705,0.0,0.11111111111111112
0.694552889124696,0.0,0.11111111111111112
0.6889231513950362,0.0,0.11111111111111112
0.6833950908529272,0.0,0.11111111111111112
0.6780309769576937,0.0,0.11111111111111112
0.6722372925811584,0.0,0.11111111111111112
0.6666666666666667,0.0,0.11111111111111112
0.6611018311136557,0.0,0.11111111111111112
0.6554968036538664,0.0,0.11111111111111112
0.6499700837378494,0.0,0.11111111111111112
0.6443812231806991,0.0,0.11111111111111112
0.6388578519854642,0.0,0.11111111111111112
0.633338226540689,0.0,0.11111111111111112
0.6277354745187332,0.0,0.11111111111111112
0.6221995441844282,0.0,0.11111111111111112
0.6166396209778743,0.0,0.11111111111111112
0.6110863300924801,0.0,0.11111111111111112
0.6055780759299311,0.0,0.11111111111111112
0.5999805120122813,0.0,0.11111111111111112
0.5945043943598434,0.0,0.11111111111111112
0.5890043510093559,0.0,0.11111111111111112
0.5832811804364006,0.0,0.11111111111111112
0.5778112700590182,0.0,0.11111111111111112
0.5721615484790676,0.0,0.11111111111111112
0.5666122869135064,0.0,0.11111111111111112
0.5612259868376699,0.0,0.11111111111111112
0.5554064099859343,0.0,0.11111111111111112
0.5501716659439969,0.0,0.11111111111111112
0.5445286214005023,0.0,0.11111111111111112
0.538832685065359,0.0,0.11111111111111112
0.5331095144924038,0.0,0.11111111111111112
0.5278862224580294,0.0,0.11111111111111112
0.5222564847283696,0.0,0.11111111111111112
0.5167284241862605,0.0,0.11111111111111112
0.511364310291027,0.0,0.11111111111111112
0.5055706259144916,0.0,0.11111111111111112
0.5,0.0,0.11111111111111112
0.4944351644469891,0.0,0.11111111111111112
0.4889145479747843,0.0,0.11111111111111112
0.48330341707118274,0.0,0.11111111111111112
0.47781296905624987,0.0,0.11111111111111112
0.4721911853187975,0.0,0.11111111111111112
0.46667155987402237,0.0,0.11111111111111112
0.4610688078520666,0.0,0.11111111111111112
0.45553287751776156,0.0,0.11111111111111112
0.4499729543112076,0.0,0.11111111111111112
0.4444196634258135,0.0,0.11111111111111112
0.43891140926326444,0.0,0.11111111111111112
0.4333138453456147,0.0,0.11111111111111112
0.42783772769317674,0.0,0.11111111111111112
0.42212572983208296,0.0,0.11111111111111112
0.416614513769734,0.0,0.11111111111111112
0.4111446033923516,0.0,0.11111111111111112
0.40549488181240095,0.0,0.11111111111111112
0.39994562024683966,0.0,0.11111111111111112
0.39455932017100315,0.0,0.11111111111111112
0.38873974331926753,0.0,0.11111111111111112
0.38350499927733017,0.0,0.11111111111111112
0.3778619547338356,0.0,0.11111111111111112
0.37216601839869234,0.0,0.11111111111111112
0.36689952072007526,0.0,0.11111111111111112
0.36121955579136267,0.0,0.11111111111111112
0.355589818061703,0.0,0.11111111111111112
0.35006175751959384,0.0,0.11111111111111112
0.3446976436243603,0.0,0.11111111111111112
0.33890395924782496,0.0,0.11111111111111112
0.33333333333333337,0.0,0.11111111111111112
0.3277684977803224,0.0,0.11111111111111112
0.3222478813081176,0.0,0.11111111111111112
0.31663675040451605,0.0,0.11111111111111112
0.3111463023895832,0.0,0.11111111111111112
0.30552451865213087,0.0,0.11111111111111112
0.30000489320735574,0.0,0.11111111111111112
0.2944021411853999,0.0,0.11111111111111112
0.28886621085109493,0.0,0.11111111111111112
0.28330628764454097,0.0,0.11111111111111112
0.27775299675914683,0.0,0.11111111111111112
0.27224474259659776,0.0,0.11111111111111112
0.26664717867894794,0.0,0.11111111111111112
0.26117106102651005,0.0,0.11111111111111112
0.2554590631654163,0.0,0.11111111111111112
0.2499478471030673,0.0,0.11111111111111112
0.24447793672568494,0.0,0.11111111111111112
0.2388282151457343,0.0,0.11111111111111112
0.23327895358017306,0.0,0.11111111111111112
0.2278926535043365,0.0,0.11111111111111112
0.22240895852515516,0.0,0.11111111111111112
0.21683833261066354,0.0,0.11111111111111112
0.21119528806716897,0.0,0.11111111111111112
0.20549935173202566,0.0,0.11111111111111112
0.19977618115907045,0.0,0.11111111111111112
0.194552889124696,0.0,0.11111111111111112
0.18892315139503627,0.0,0.11111111111111112
0.18339509085292713,0.0,0.11111111111111112
0.1780309769576936,0.0,0.11111111111111112
0.1722372925811583,0.0,0.11111111111111112
0.16666666666666669,0.0,0.11111111111111112
0.16110183111365572,0.0,0.11111111111111112
0.15558121464145092,0.0,0.11111111111111112
0.14997008373784937,0.0,0.11111111111111112
0.14447963572291647,0.0,0.11111111111111112
0.1388578519854642,0.0,0.11111111111111112
0.13333822654068905,0.0,0.11111111111111112
0.12773547451873324,0.0,0.11111111111111112
0.12219954418442824,0.0,0.11111111111111112
0.1166396209778743,0.0,0.11111111111111112
0.11108633009248015,0.0,0.11111111111111112
0.10557807592993108,0.0,0.11111111111111112
0.09998051201228131,0.0,0.11111111111111112
0.0945043943598434,0.0,0.11111111111111112
0.08879239649874962,0.0,0.11111111111111112
0.08328118043640063,0.0,0.11111111111111112
0.07781127005901825,0.0,0.11111111111111112
0.07216154847906762,0.0,0.11111111111111112
0.06661228691350636,0.0,0.11111111111111112
0.06122598683766983,0.0,0.11111111111111112
0.05540640998593422,0.0,0.11111111111111112
0.050171665943996864,0.0,0.11111111111111112
0.0445286214005023,0.0,0.11111111111111112
0.038832685065358974,0.0,0.11111111111111112
0.03310951449240378,0.0,0.11111111111111112
0.02788622245802935,0.0,0.11111111111111112
0.022256484728369594,0.0,0.11111111111111112
0.016728424186260485,0.0,0.11111111111111112
0.011364310291026938,0.0,0.11111111111111112
0.005570625914491622,0.0,0.11111111111111112
0.0,0.0,0.11111111111111112
1.0,0.0,0.22222222222222224
0.9944351644469891,0.0,0.22222222222222224
0.9889145479747843,0.0,0.22222222222222224
0.9833034170711827,0.0,0.22222222222222224
0.9778129690562498,0.0,0.22222222222222224
0.9721911853187976,0.0,0.22222222222222224
0.9666715598740224,0.0,0.22222222222222224
0.9610688078520666,0.0,0.22222222222222224
0.9555328775177616,0.0,0.22222222222222224
0.9499729543112077,0.0,0.22222222222222224
0.9444196634258135,0.0,0.22222222222222224
0.9389114092632644,0.0,0.22222222222222224
0.9333138453456147,0.0,0.22222222222222224
0.9278377276931767,0.0,0.22222222222222224
0.9221257298320831,0.0,0.22222222222222224
0.916614513769734,0.0,0.22222222222222224
0.9111446033923516,0.0,0.22222222222222224
0.905494881812401,0.0,0.22222222222222224
0.8999456202468397,0.0,0.22222222222222224
0.8945593201710033,0.0,0.22222222222222224
0.8887397433192676,0.0,0.22222222222222224
0.8835049992773303,0.0,0.22222222222222224
0.8778619547338357,0.0,0.22222222222222224
0.8721660183986923,0.0,0.22222222222222224
0.8664428478257372,0.0,0.22222222222222224
0.8612195557913627,0.0,0.22222222222222224
0.8555898180617029,0.0,0.22222222222222224
0.8500617575195939,0.0,0.22222222222222224
0.8446976436243603,0.0,0.22222222222222224
0.838903959247825,0.0,0.22222222222222224
0.8333333333333334,0.0,0.22222222222222224
0.8277684977803225,0.0,0.22222222222222224
0.8222478813081175,0.0,0.22222222222222224
0.8166367504045161,0.0,0.22222222222222224
0.8111463023895832,0.0,0.22222222222222224
0.8055245186521308,0.0,0.22222222222222224
0.8000048932073557,0.0,0.22222222222222224
0.7944021411854,0.0,0.22222222222222224
0.7888662108510949,0.0,0.22222222222222224
0.7833062876445409,0.0,0.22222222222222224
0.7777529967591468,0.0,0.22222222222222224
0.7722447425965977,0.0,0.22222222222222224
0.766647178678948,0.0,0.22222222222222224
0.7611710610265101,0.0,0.22222222222222224
0.7554590631654163,0.0,0.22222222222222224
0.7499478471030673,0.0,0.22222222222222224
0.744477936725685,0.0,0.22222222222222224
0.7388282151457344,0.0,0.22222222222222224
0.733278953580173,0.0,0.22222222222222224
0.7278926535043364,0.0,0.22222222222222224
0.7220730766526009,0.0,0.22222222222222224
0.7164755127349511,0.0,0.22222222222222224
0.7111952880671689,0.0,0.22222222222222224
0.7054993517320257,0.0,0.22222222222222224
0.6997761811590705,0.0,0.22222222222222224
0.694552889124696,0.0,0.22222222222222224
0.6889231513950362,0.0,0.22222222222222224
0.6833950908529272,0.0,0.22222222222222224
0.6780309769576937,0.0,0.22222222222222224
0.6722372925811584,0.0,0.22222222222222224
0.6666666666666667,0.0,0.22222222222222224
0.6611018311136557,0.0,0.22222222222222224
0.6554968036538664,0.0,0.22222222222222224
0.6499700837378494,0.0,0.22222222222222224
0.6443812231806991,0.0,0.22222222222222224
0.6388578519854642,0.0,0.22222222222222224
0.633338226540689,0.0,0.22222222222222224
0.6277354745187332,0.0,0.22222222222222224
0.6221995441844282,0.0,0.22222222222222224
0.6166396209778743,0.0,0.22222222222222224
0.6110863300924801,0.0,0.22222222222222224
0.6055780759299311,0.0,0.22222222222222224
0.5999805120122813,0.0,0.22222222222222224
0.5945043943598434,0.0,0.22222222222222224
0.5890043510093559,0.0,0.22222222222222224
0.5832811804364006,0.0,0.22222222222222224
0.5778112700590182,0.0,0.22222222222222224
0.5721615484790676,0.0,0.22222222222222224
0.5666122869135064,0.0,0.22222222222222224
0.5612259868376699,0.0,0.22222222222222224
0.5554064099859343,0.0,0.22222222222222224
0.5501716659439969,0.0,0.22222222222222224
0.5445286214005023,0.0,0.22222222222222224
0.538832685065359,0.0,0.22222222222222224
0.5331095144924038,0.0,0.22222222222222224
0.5278862224580294,0.0,0.22222222222222224
0.5222564847283696,0.0,0.22222222222222224
0.5167284241862605,0.0,0.22222222222222224
0.511364310291027,0.0,0.22222222222222224
0.5055706259144916,0.0,0.22222222222222224
0.5,0.0,0.22222222222222224
0.4944351644469891,0.0,0.22222222222222224
0.4889145479747843,0.0,0.22222222222222224
0.48330341707118274,0.0,0.22222222222222224
0.47781296905624987,0.0,0.22222222222222224
0.4721911853187975,0.0,0.22222222222222224
0.46667155987402237,0.0,0.22222222222222224
0.4610688078520666,0.0,0.22222222222222224
0.45553287751776156,0.0,0.22222222222222224
0.4499729543112076,0.0,0.22222222222222224
0.4444196634258135,0.0,0.22222222222222224
0.43891140926326444,0.0,0.22222222222222224
0.4333138453456147,0.0,0.22222222222222224
0.42783772769317674,0.0,0.22222222222222224
0.42212572983208296,0.0,0.22222222222222224
0.416614513769734,0.0,0.22222222222222224
0.4111446033923516,0.0,0.22222222222222224
0.40549488181240095,0.0,0.22222222222222224
0.39994562024683966,0.0,0.22222222222222224
0.39455932017100315,0.0,0.22222222222222224
0.38873974331926753,0.0,0.22222222222222224
0.38350499927733017,0.0,0.22222222222222224
0.3778619547338356,0.0,0.22222222222222224
0.37216601839869234,0.0,0.22222222222222224
0.36689952072007526,0.0,0.22222222222222224
0.36121955579136267,0.0,0.22222222222222224
0.355589818061703,0.0,0.22222222222222224
0.35006175751959384,0.0,0.22222222222222224
0.3446976436243603,0.0,0.22222222222222224
0.33890395924782496,0.0,0.22222222222222224
0.33333333333333337,0.0,0.22222222222222224
0.3277684977803224,0.0,0.22222222222222224
0.3222478813081176,0.0,0.22222222222222224
0.31663675040451605,0.0,0.22222222222222224
0.3111463023895832,0.0,0.22222222222222224
0.30552451865213087,0.0,0.22222222222222224
0.30000489320735574,0.0,0.22222222222222224
0.2944021411853999,0.0,0.22222222222222224
0.28886621085109493,0.0,0.22222222222222224
0.28330628764454097,0.0,0.22222222222222224
0.27775299675914683,0.0,0.22222222222222224
0.27224474259659776,0.0,0.22222222222222224
0.26664717867894794,0.0,0.22222222222222224
0.26117106102651005,0.0,0.22222222222222224
0.2554590631654163,0.0,0.22222222222222224
0.2499478471030673,0.0,0.22222222222222224
0.24447793672568494,0.0,0.22222222222222224
0.2388282151457343,0.0,0.22222222222222224
0.23327895358017306,0.0,0.22222222222222224
0.2278926535043365,0.0,0.22222222222222224
0.22240895852515516,0.0,0.22222222222222224
0.21683833261066354,0.0,0.22222222222222224
0.21119528806716897,0.0,0.22222222222222224
0.20549935173202566,0.0,0.22222222222222224
0.19977618115907045,0.0,0.22222222222222224
0.194552889124696,0.0,0.22222222222222224
0.18892315139503627,0.0,0.22222222222222224
0.18339509085292713,0.0,0.22222222222222224
0.1780309769576936,0.0,0.22222222222222224
0.1722372925811583,0.0,0.22222222222222224
0.16666666666666669,0.0,0.22222222222222224
0.16110183111365572,0.0,0.22222222222222224
0.15558121464145092,0.0,0.22222222222222224
0.14997008373784937,0.0,0.22222222222222224
0.14447963572291647,0.0,0.22222222222222224
0.1388578519854642,0.0,0.22222222222222224
0.13333822654068905,0.0,0.22222222222222224
0.12773547451873324,0.0,0.22222222222222224
0.12219954418442824,0.0,0.22222222222222224
0.1166396209778743,0.0,0.22222222222222224
0.11108633009248015,0.0,0.22222222222222224
0.10557807592993108,0.0,0.22222222222222224
0.09998051201228131,0.0,0.22222222222222224
0.0945043943598434,0.0,0.22222222222222224
0.08879239649874962,0.0,0.22222222222222224
0.08328118043640063,0.0,0.22222222222222224
0.07781127005901825,0.0,0.22222222222222224
0.07216154847906762,0.0,0.22222222222222224
0.06661228691350636,0.0,0.22222222222222224
0.06122598683766983,0.0,0.22222222222222224
0.05540640998593422,0.0,0.22222222222222224
0.050171665943996864,0.0,0.22222222222222224
0.0445286214005023,0.0,0.22222222222222224
0.038832685065358974,0.0,0.22222222222222224
0.03310951449240378,0.0,0.22222222222222224
0.02788622245802935,0.0,0.22222222222222224
0.022256484728369594,0.0,0.22222222222222224
0.016728424186260485,0.0,0.22222222222222224
0.011364310291026938,0.0,0.22222222222222224
0.005570625914491622,0.0,0.22222222222222224
0.0,0.0,0.22222222222222224
1.0,0.0,0.4444444444444445
0.9944351644469891,0.0,0.4444444444444445
0.9889145479747843,0.0,0.4444444444444445
0.9833034170711827,0.0,0.4444444444444445
0.9778129690562498,0.0,0.4444444444444445
0.9721911853187976,0.0,0.4444444444444445
0.9666715598740224,0.0,0.4444444444444445
0.9610688078520666,0.0,0.4444444444444445
0.9555328775177616,0.0,0.4444444444444445
0.9499729543112077,0.0,0.4444444444444445
0.9444196634258135,0.0,0.4444444444444445
0.9389114092632644,0.0,0.4444444444444445
0.9333138453456147,0.0,0.4444444444444445
0.9278377276931767,0.0,0.4444444444444445
0.9221257298320831,0.0,0.4444444444444445
0.916614513769734,0.0,0.4444444444444445
0.9111446033923516,0.0,0.4444444444444445
0.905494881812401,0.0,0.4444444444444445
0.8999456202468397,0.0,0.4444444444444445
0.8945593201710033,0.0,0.4444444444444445
0.8887397433192676,0.0,0.4444444444444445
0.8835049992773303,0.0,0.4444444444444445
0.8778619547338357,0.0,0.4444444444444445
0.8721660183986923,0.0,0.4444444444444445
0.8664428478257372,0.0,0.4444444444444445
0.8612195557913627,0.0,0.4444444444444445
0.8555898180617029,0.0,0.4444444444444445
0.8500617575195939,0.0,0.4444444444444445
0.8446976436243603,0.0,0.4444444444444445
0.838903959247825,0.0,0.4444444444444445
0.8333333333333334,0.0,0.4444444444444445
0.8277684977803225,0.0,0.4444444444444445
0.8222478813081175,0.0,0.4444444444444445
0.8166367504045161,0.0,0.4444444444444445
0.8111463023895832,0.0,0.4444444444444445
0.8055245186521308,0.0,0.4444444444444445
0.8000048932073557,0.0,0.4444444444444445
0.7944021411854,0.0,0.4444444444444445
0.7888662108510949,0.0,0.4444444444444445
0.7833062876445409,0.0,0.4444444444444445
0.7777529967591468,0.0,0.4444444444444445
0.7722447425965977,0.0,0.4444444444444445
0.766647178678948,0.0,0.4444444444444445
0.7611710610265101,0.0,0.4444444444444445
0.7554590631654163,0.0,0.4444444444444445
0.7499478471030673,0.0,0.4444444444444445
0.744477936725685,0.0,0.4444444444444445
0.7388282151457344,0.0,0.4444444444444445
0.733278953580173,0.0,0.4444444444444445
0.7278926535043364,0.0,0.4444444444444445
0.7220730766526009,0.0,0.4444444444444445
0.7164755127349511,0.0,0.4444444444444445
0.7111952880671689,0.0,0.4444444444444445
0.7054993517320257,0.0,0.4444444444444445
0.6997761811590705,0.0,0.4444444444444445
0.694552889124696,0.0,0.4444444444444445
0.6889231513950362,0.0,0.4444444444444445
0.6833950908529272,0.0,0.4444444444444445
0.6780309769576937,0.0,0.4444444444444445
0.6722372925811584,0.0,0.4444444444444445
0.6666666666666667,0.0,0.4444444444444445
0.6611018311136557,0.0,0.4444444444444445
0.6554968036538664,0.0,0.4444444444444445
0.6499700837378494,0.0,0.4444444444444445
0.6443812231806991,0.0,0.4444444444444445
0.6388578519854642,0.0,0.4444444444444445
0.633338226540689,0.0,0.4444444444444445
0.6277354745187332,0.0,0.4444444444444445
0.6221995441844282,0.0,0.4444444444444445
0.6166396209778743,0.0,0.4444444444444445
0.6110863300924801,0.0,0.4444444444444445
0.6055780759299311,0.0,0.4444444444444445
0.5999805120122813,0.0,0.4444444444444445
0.5945043943598434,0.0,0.4444444444444445
0.5890043510093559,0.0,0.4444444444444445
0.5832811804364006,0.0,0.4444444444444445
0.5778112700590182,0.0,0.4444444444444445
0.5721615484790676,0.0,0.4444444444444445
0.5666122869135064,0.0,0.4444444444444445
0.5612259868376699,0.0,0.4444444444444445
0.5554064099859343,0.0,0.4444444444444445
0.5501716659439969,0.0,0.4444444444444445
0.5445286214005023,0.0,0.4444444444444445
0.538832685065359,0.0,0.4444444444444445
0.5331095144924038,0.0,0.4444444444444445
0.5278862224580294,0.0,0.4444444444444445
0.5222564847283696,0.0,0.4444444444444445
0.5167284241862605,0.0,0.4444444444444445
0.511364310291027,0.0,0.4444444444444445
0.5055706259144916,0.0,0.4444444444444445
0.5,0.0,0.4444444444444445
0.4944351644469891,0.0,0.4444444444444445
0.4889145479747843,0.0,0.4444444444444445
0.48330341707118274,0.0,0.4444444444444445
0.47781296905624987,0.0,0.4444444444444445
0.4721911853187975,0.0,0.4444444444444445
0.46667155987402237,0.0,0.4444444444444445
0.4610688078520666,0.0,0.4444444444444445
0.45553287751776156,0.0,0.4444444444444445
0.4499729543112076,0.0,0.4444444444444445
0.4444196634258135,0.0,0.4444444444444445
0.43891140926326444,0.0,0.4444444444444445
0.4333138453456147,0.0,0.4444444444444445
0.42783772769317674,0.0,0.4444444444444445
0.42212572983208296,0.0,0.4444444444444445
0.416614513769734,0.0,0.4444444444444445
0.4111446033923516,0.0,0.4444444444444445
0.40549488181240095,0.0,0.4444444444444445
0.39994562024683966,0.0,0.4444444444444445
0.39455932017100315,0.0,0.4444444444444445
0.38873974331926753,0.0,0.4444444444444445
0.38350499927733017,0.0,0.4444444444444445
0.3778619547338356,0.0,0.4444444444444445
0.37216601839869234,0.0,0.4444444444444445
0.36689952072007526,0.0,0.4444444444444445
0.36121955579136267,0.0,0.4444444444444445
0.355589818061703,0.0,0.4444444444444445
0.35006175751959384,0.0,0.4444444444444445
0.3446976436243603,0.0,0.4444444444444445
0.33890395924782496,0.0,0.4444444444444445
0.33333333333333337,0.0,0.4444444444444445
0.3277684977803224,0.0,0.4444444444444445
0.3222478813081176,0.0,0.4444444444444445
0.31663675040451605,0.0,0.4444444444444445
0.3111463023895832,0.0,0.4444444444444445
0.30552451865213087,0.0,0.4444444444444445
0.30000489320735574,0.0,0.4444444444444445
0.2944021411853999,0.0,0.4444444444444445
0.28886621085109493,0.0,0.4444444444444445
0.28330628764454097,0.0,0.4444444444444445
0.27775299675914683,0.0,0.4444444444444445
0.27224474259659776,0.0,0.4444444444444445
0.26664717867894794,0.0,0.4444444444444445
0.26117106102651005,0.0,0.4444444444444445
0.2554590631654163,0.0,0.4444444444444445
0.2499478471030673,0.0,0.4444444444444445
0.24447793672568494,0.0,0.4444444444444445
